EAN,Id,Title,Description,Availability,Condition,Stock,Price,Sale_Price,Shipping_price,Size,Color,Image_Link,Product_Type,Brand,Link
8806092557628,SM-R880NZSAPHE,Galaxy Watch4 Classic Bluetooth (42mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 Classic detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,372.26 EUR,329.90 EUR,0.0 EUR,,Prateado,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-classic-400206-sm-r880nzsaphe-481867079?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Classic-Bluetooth-%2842mm%29/p/SM-R880NZSAPHE
8806092614581,SM-R865FZDAPHE,Galaxy Watch4 4G (40mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,322.26 EUR,279.90 EUR,0.0 EUR,,Rosa Dourado,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-400386-sm-r865fzdaphe-482248435?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-4G-%2840mm%29/p/SM-R865FZDAPHE
8806092559448,SM-R870NZGAPHE,Galaxy Watch4 Bluetooth (44mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,302.26 EUR,249.90 EUR,0.0 EUR,,Verde,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-sm-r870nzgaphe-481872498?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Bluetooth-%2844mm%29/p/SM-R870NZGAPHE
8806092521841,SM-R870NZKAPHE,Galaxy Watch4 Bluetooth (44mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",preorder,new,,302.26 EUR,249.90 EUR,0.0 EUR,,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-sm-r870nzkaphe-481872514?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Bluetooth-%2844mm%29/p/SM-R870NZKAPHE
8806092559264,SM-R870NZSAPHE,Galaxy Watch4 Bluetooth (44mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,302.26 EUR,249.90 EUR,0.0 EUR,,Prateado,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-sm-r870nzsaphe-481872530?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Bluetooth-%2844mm%29/p/SM-R870NZSAPHE
8806092614765,SM-R875FZGAPHE,Galaxy Watch4 4G (44mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,352.26 EUR,299.90 EUR,0.0 EUR,,Verde,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-400448-sm-r875fzgaphe-482282669?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-4G-%2844mm%29/p/SM-R875FZGAPHE
8806092614741,SM-R875FZKAPHE,Galaxy Watch4 4G (44mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,352.26 EUR,299.90 EUR,0.0 EUR,,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-400448-sm-r875fzkaphe-482282686?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-4G-%2844mm%29/p/SM-R875FZKAPHE
8806092662728,SM-R177NLVAPHE,Galaxy Buds2,,in stock,new,,149.90 EUR,129.90 EUR,0.0 EUR,,Lavender,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-buds2-r177-sm-r177nlvaphe-482311776?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Buds/Galaxy-Buds2/Galaxy-Buds2/p/SM-R177NLVAPHE
8806092510616,SM-R177NZGAPHE,Galaxy Buds2,,in stock,new,,149.90 EUR,129.90 EUR,0.0 EUR,,Olive,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-buds2-r177-sm-r177nzgaphe-482311801?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Buds/Galaxy-Buds2/Galaxy-Buds2/p/SM-R177NZGAPHE
8806092510609,SM-R177NZKAPHE,Galaxy Buds2,,out of stock,new,,149.90 EUR,129.90 EUR,0.0 EUR,,Graphite,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-buds2-r177-sm-r177nzkaphe-482311832?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Buds/Galaxy-Buds2/Galaxy-Buds2/p/SM-R177NZKAPHE
